year,month,region,total
2020,05,서울,3133353
2020,05,부산,1406405
2020,05,대구,1197218
2020,05,인천,1660785
2020,05,광주,683239
2020,05,대전,679867
2020,05,울산,569209
2020,05,세종,167232
2020,05,경기,5854653
2020,05,강원,791908
2020,05,충북,849472
2020,05,충남,1129557
2020,05,전북,935790
2020,05,전남,1068577
2020,05,경북,1455796
2020,05,경남,1741496
2020,05,제주,601521
2020,06,서울,3141710
2020,06,부산,1411326
2020,06,대구,1200662
2020,06,인천,1665497
2020,06,광주,685555
2020,06,대전,681266
2020,06,울산,571307
2020,06,세종,167623
2020,06,경기,5885065
2020,06,강원,795954
2020,06,충북,853770
2020,06,충남,1134773
2020,06,전북,939033
2020,06,전남,1074212
2020,06,경북,1460261
2020,06,경남,1748690
2020,06,제주,606379
2020,07,서울,3147149
2020,07,부산,1415199
2020,07,대구,1205069
2020,07,인천,1670275
2020,07,광주,687391
2020,07,대전,683138
2020,07,울산,573415
2020,07,세종,168535
2020,07,경기,5903746
2020,07,강원,799492
2020,07,충북,856237
2020,07,충남,1138897
2020,07,전북,941129
2020,07,전남,1079202
2020,07,경북,1463495
2020,07,경남,1752882
2020,07,제주,612325
2020,08,서울,3148071
2020,08,부산,1416802
2020,08,대구,1211905
2020,08,인천,1667158
2020,08,광주,687007
2020,08,대전,682815
2020,08,울산,573145
2020,08,세종,169426
2020,08,경기,5917648
2020,08,강원,800987
2020,08,충북,857437
2020,08,충남,1140409
2020,08,전북,941836
2020,08,전남,1081567
2020,08,경북,1464146
2020,08,경남,1754183
2020,08,제주,615868
2020,09,서울,3151842
2020,09,부산,1420059
2020,09,대구,1216725
2020,09,인천,1667770
2020,09,광주,689331
2020,09,대전,685034
2020,09,울산,573573
2020,09,세종,170144
2020,09,경기,5943551
2020,09,강원,803231
2020,09,충북,860035
2020,09,충남,1143395
2020,09,전북,943762
2020,09,전남,1086836
2020,09,경북,1466566
2020,09,경남,1758976
2020,09,제주,620562
2020,10,서울,3153732
2020,10,부산,1423215
2020,10,대구,1215989
2020,10,인천,1671017
2020,10,광주,689966
2020,10,대전,684826
2020,10,울산,573848
