year,region,total
2024,서울,83868
2024,부산,44259
2024,대구,35212
2024,인천,54398
2024,광주,15240
2024,대전,21314
2024,울산,9817
2024,세종,5424
2024,경기,151850
2024,강원,21004
2024,충북,25375
2024,충남,30654
2024,전북,24872
2024,전남,31417
2024,경북,33905
2024,경남,46628
2024,제주,49007
2023,서울,72937
2023,부산,34643
2023,대구,30396
2023,인천,40397
2023,광주,12538
2023,대전,17889
2023,울산,7838
2023,세종,4393
2023,경기,114117
2023,강원,18236
2023,충북,19972
2023,충남,24130
2023,전북,19795
2023,전남,24200
2023,경북,26776
2023,경남,36225
2023,제주,39418
2022,서울,59327
2022,부산,22063
2022,대구,24161
2022,인천,26242
2022,광주,9096
2022,대전,14476
2022,울산,5061
2022,세종,3034
2022,경기,77648
2022,강원,14012
2022,충북,15140
2022,충남,16611
2022,전북,12727
2022,전남,15387
2022,경북,19154
2022,경남,22740
2022,제주,32976
2021,서울,40564
2021,부산,12375
2021,대구,16185
2021,인천,12820
2021,광주,5194
2021,대전,7701
2021,울산,3166
2021,세종,1859
2021,경기,39958
2021,강원,7946
2021,충북,8194
2021,충남,9991
2021,전북,7365
2021,전남,8708
2021,경북,11240
2021,경남,12606
2021,제주,25571
2020,서울,23393
2020,부산,5355
2020,대구,12630
2020,인천,5366
2020,광주,3210
2020,대전,4469
2020,울산,2274
2020,세종,1148
2020,경기,20477
2020,강원,4078
2020,충북,3883
2020,충남,5489
2020,전북,3323
2020,전남,5223
2020,경북,7051
2020,경남,6308
2020,제주,21285
2019,서울,14952
2019,부산,3216
2019,대구,11313
2019,인천,2598
2019,광주,2464
2019,대전,2555
2019,울산,1447
2019,세종,903
2019,경기,11750
2019,강원,2445
2019,충북,2412
2019,충남,2841
2019,전북,1841
2019,전남,3326
2019,경북,4051
2019,경남,3626
2019,제주,18178
2018,서울,9564
2018,부산,1567
2018,대구,6605
2018,인천,1284
2018,광주,1447
2018,대전,1334
2018,울산,847
2018,세종,394
2018,경기,6383
2018,강원,1377
2018,충북,1199
2018,충남,1127
2018,전북,997
2018,전남,1974
2018,경북,2001
2018,경남,2107
2018,제주,15549
2017,서울,4797
2017,부산,816
2017,대구,2005
2017,인천,542
2017,광주,548
2017,대전,303
2017,울산,356
2017,세종,95
2017,경기,2290
2017,강원,459
2017,충북,281
2017,충남,336
2017,전북,336
2017,전남,960
2017,경북,756
2017,경남,1022
2017,제주,9206
2016,서울,1498
2016,부산,366
2016,대구,344
2016,인천,207
2016,광주,239
2016,대전,74
2016,울산,103
2016,세종,25
2016,경기,650
2016,강원,150
2016,충북,60
2016,충남,170
2016,전북,57
2016,전남,446
2016,경북,278
2016,경남,559
2016,제주,5629
2015,서울,1151
2015,부산,232
2015,대구,88
2015,인천,129
2015,광주,186
2015,대전,29
2015,울산,54
2015,세종,10
2015,경기,313
2015,강원,81
2015,충북,28
2015,충남,140
2015,전북,37
2015,전남,290
2015,경북,147
2015,경남,428
2015,제주,2369
2014,서울,785
2014,부산,111
2014,대구,22
2014,인천,102
2014,광주,111
2014,대전,24
2014,울산,18
2014,세종,4
2014,경기,169
2014,강원,43
2014,충북,16
2014,충남,113
2014,전북,18
2014,전남,173
2014,경북,111
2014,경남,281
2014,제주,674
2013,서울,475
2013,부산,20
2013,대구,12
2013,인천,61
2013,광주,24
2013,대전,20
2013,울산,12
2013,세종,4
2013,경기,108
2013,강원,20
2013,충북,8
2013,충남,94
2013,전북,13
2013,전남,98
2013,경북,62
2013,경남,131
2013,제주,302
2012,서울,205
2012,부산,18
2012,대구,11
2012,인천,51
2012,광주,5
2012,대전,13
2012,울산,9
2012,세종,0
2012,경기,84
2012,강원,15
2012,충북,5
2012,충남,38
2012,전북,8
2012,전남,82
2012,경북,49
2012,경남,89
2012,제주,178
2011,서울,103
2011,부산,4
2011,대구,7
2011,인천,24
2011,광주,2
2011,대전,6
2011,울산,7
2011,세종,0
2011,경기,39
2011,강원,10
2011,충북,1
2011,충남,7
2011,전북,2
2011,전남,21
2011,경북,13
2011,경남,54
2011,제주,44
2010,서울,52
2010,부산,0
2010,대구,0
2010,인천,2
2010,광주,1
2010,대전,2
2010,울산,0
2010,세종,0
2010,경기,5
2010,강원,0
2010,충북,0
2010,충남,2
2010,전북,0
2010,전남,0
2010,경북,2
2010,경남,0
2010,제주,0
