year,sorting,total,gasoline,diesel,LPG,hybrid,elec,hydrogen
2018,소계,23202555,10629296,9929537,2035403,405084,55756,893
2019,소계,23677366,10960779,9957543,2004730,506047,89918,5083
2020,소계,24365979,11410484,9992124,1979407,674461,134962,10906
2021,소계,24911101,11759565,9871951,1945674,908240,231443,19404
2022,소계,25503078,12069043,9758173,1904860,1170507,389855,29623
2023,소계,25949201,12314186,9500164,1832535,1542132,543900,34258
2024,소계,26297919,12419660,9100840,1849816,2024481,684244,37930
